"","ncomm","sim_type","i","j"
"684",96,"lockdown, surge",4,48
"685",100,"control",4,49
"686",96,"lockdown, no surge",4,49
"687",97,"lockdown, surge",4,49
"688",100,"control",4,50
"689",96,"lockdown, no surge",4,50
"690",97,"lockdown, surge",4,50
"691",100,"control",4,51
"692",96,"lockdown, no surge",4,51
"693",97,"lockdown, surge",4,51
"694",100,"control",4,52
"695",96,"lockdown, no surge",4,52
"696",97,"lockdown, surge",4,52
"697",100,"control",4,53
"698",96,"lockdown, no surge",4,53
"699",97,"lockdown, surge",4,53
"700",100,"control",4,54
"701",96,"lockdown, no surge",4,54
"702",97,"lockdown, surge",4,54
"703",100,"control",4,55
"704",96,"lockdown, no surge",4,55
"705",97,"lockdown, surge",4,55
"706",100,"control",4,56
"707",98,"lockdown, no surge",4,56
"708",97,"lockdown, surge",4,56
"709",100,"control",4,57
"710",99,"lockdown, no surge",4,57
"711",98,"lockdown, surge",4,57
"712",100,"control",4,58
"713",99,"lockdown, no surge",4,58
"714",99,"lockdown, surge",4,58
"715",100,"control",4,59
"716",99,"lockdown, no surge",4,59
"717",99,"lockdown, surge",4,59
"718",100,"control",4,60
"719",99,"lockdown, no surge",4,60
"720",99,"lockdown, surge",4,60
"721",1,"control",5,1
"722",1,"lockdown, no surge",5,1
"723",1,"lockdown, surge",5,1
"724",1,"control",5,2
"725",1,"lockdown, no surge",5,2
"726",1,"lockdown, surge",5,2
"727",1,"control",5,3
"728",1,"lockdown, no surge",5,3
"729",1,"lockdown, surge",5,3
"730",1,"control",5,4
"731",1,"lockdown, no surge",5,4
"732",1,"lockdown, surge",5,4
"733",1,"control",5,5
"734",1,"lockdown, no surge",5,5
"735",1,"lockdown, surge",5,5
"736",1,"control",5,6
"737",1,"lockdown, no surge",5,6
"738",1,"lockdown, surge",5,6
"739",1,"control",5,7
"740",1,"lockdown, no surge",5,7
"741",1,"lockdown, surge",5,7
"742",1,"control",5,8
"743",1,"lockdown, no surge",5,8
"744",1,"lockdown, surge",5,8
"745",1,"control",5,9
"746",1,"lockdown, no surge",5,9
"747",1,"lockdown, surge",5,9
"748",1,"control",5,10
"749",1,"lockdown, no surge",5,10
"750",1,"lockdown, surge",5,10
"751",1,"control",5,11
"752",1,"lockdown, no surge",5,11
"753",1,"lockdown, surge",5,11
"754",1,"control",5,12
"755",2,"lockdown, no surge",5,12
"756",1,"lockdown, surge",5,12
"757",2,"control",5,13
"758",2,"lockdown, no surge",5,13
"759",2,"lockdown, surge",5,13
"760",2,"control",5,14
"761",2,"lockdown, no surge",5,14
"762",2,"lockdown, surge",5,14
"763",3,"control",5,15
"764",4,"lockdown, no surge",5,15
"765",3,"lockdown, surge",5,15
"766",5,"control",5,16
"767",4,"lockdown, no surge",5,16
"768",6,"lockdown, surge",5,16
"769",14,"control",5,17
"770",8,"lockdown, no surge",5,17
"771",8,"lockdown, surge",5,17
"772",18,"control",5,18
"773",12,"lockdown, no surge",5,18
"774",11,"lockdown, surge",5,18
"775",26,"control",5,19
"776",13,"lockdown, no surge",5,19
"777",19,"lockdown, surge",5,19
"778",37,"control",5,20
"779",17,"lockdown, no surge",5,20
"780",27,"lockdown, surge",5,20
"781",43,"control",5,21
"782",21,"lockdown, no surge",5,21
"783",36,"lockdown, surge",5,21
"784",50,"control",5,22
"785",26,"lockdown, no surge",5,22
"786",40,"lockdown, surge",5,22
"787",55,"control",5,23
"788",29,"lockdown, no surge",5,23
"789",47,"lockdown, surge",5,23
"790",67,"control",5,24
"791",32,"lockdown, no surge",5,24
"792",50,"lockdown, surge",5,24
"793",75,"control",5,25
"794",34,"lockdown, no surge",5,25
"795",52,"lockdown, surge",5,25
"796",82,"control",5,26
"797",40,"lockdown, no surge",5,26
"798",58,"lockdown, surge",5,26
"799",86,"control",5,27
"800",41,"lockdown, no surge",5,27
"801",61,"lockdown, surge",5,27
"802",89,"control",5,28
"803",49,"lockdown, no surge",5,28
"804",65,"lockdown, surge",5,28
"805",92,"control",5,29
"806",60,"lockdown, no surge",5,29
"807",67,"lockdown, surge",5,29
"808",92,"control",5,30
"809",67,"lockdown, no surge",5,30
"810",70,"lockdown, surge",5,30
"811",95,"control",5,31
"812",68,"lockdown, no surge",5,31
"813",71,"lockdown, surge",5,31
"814",96,"control",5,32
"815",69,"lockdown, no surge",5,32
"816",76,"lockdown, surge",5,32
"817",99,"control",5,33
"818",69,"lockdown, no surge",5,33
"819",77,"lockdown, surge",5,33
"820",99,"control",5,34
"821",74,"lockdown, no surge",5,34
"822",78,"lockdown, surge",5,34
"823",99,"control",5,35
